,Product_name,Sale price,Actual Price,Ratting,Person Ratting,Offer,No of Ratting,No of Reviews
261,"APPLE iPhone 14 Pro Max (Space Black, 512 GB)","₹1,69,900",Same Price,4.7,283 Ratings & 26 Reviews,No offer this product,283, 26 Reviews
262,"APPLE iPhone 7 Plus (Gold, 32 GB)","₹37,900",Same Price,4.5,"29,792 Ratings & 2,998 Reviews",No offer this product,"29,792"," 2,998 Reviews"
263,"APPLE iPhone 12 Pro Max (Pacific Blue, 128 GB)","₹1,09,990","₹1,19,900",4.6,"1,253 Ratings & 101 Reviews",8% off,"1,253", 101 Reviews
264,"APPLE iPhone 11 Pro Max (Space Grey, 512 GB)","₹1,50,800",Same Price,4.7,"1,093 Ratings & 99 Reviews",No offer this product,"1,093", 99 Reviews
265,"APPLE iPhone 11 Pro Max (Midnight Green, 512 GB)","₹1,50,800",Same Price,4.7,"1,093 Ratings & 99 Reviews",No offer this product,"1,093", 99 Reviews
266,"APPLE iPhone 7 (Red, 128 GB)","₹34,900",Same Price,4.5,"95,048 Ratings & 9,197 Reviews",No offer this product,"95,048"," 9,197 Reviews"
267,"Apple iPhone XR (Black, 256 GB) (Includes EarPods, Power Adapter)","₹91,900",Same Price,4.6,"1,00,548 Ratings & 8,570 Reviews",No offer this product,"1,00,548"," 8,570 Reviews"
268,"APPLE iPhone XR (Coral, 128 GB)","₹44,999","₹52,900",4.6,"1,00,548 Ratings & 8,570 Reviews",14% off,"1,00,548"," 8,570 Reviews"
269,"APPLE iPhone 12 Pro Max (Pacific Blue, 256 GB)","₹1,14,990","₹1,29,900",4.6,"1,253 Ratings & 101 Reviews",11% off,"1,253", 101 Reviews
270,"APPLE iPhone 11 Pro (Gold, 64 GB)","₹79,990","₹1,06,600",4.6,"8,653 Ratings & 630 Reviews",24% off,"8,653", 630 Reviews
271,"APPLE iPhone 5C (Blue, 8 GB)","₹14,999","₹37,500",3.9,"1,326 Ratings & 265 Reviews",60% off,"1,326", 265 Reviews
272,"APPLE iPhone 11 Pro (Space Grey, 512 GB)","₹1,40,300",Same Price,4.6,"8,653 Ratings & 630 Reviews",No offer this product,"8,653", 630 Reviews
273,"APPLE iPhone 11 Pro (Space Grey, 64 GB)","₹1,06,600",Same Price,4.6,"8,653 Ratings & 630 Reviews",No offer this product,"8,653", 630 Reviews
274,"APPLE iPhone XR (Coral, 64 GB)","₹39,999","₹47,900",4.6,"1,00,548 Ratings & 8,570 Reviews",16% off,"1,00,548"," 8,570 Reviews"
