,Product_name,Sale price,Actual Price,Ratting,Person Ratting,Offer,No of Ratting,No of Reviews
142,"APPLE iPhone XS (Gold, 512 GB)","₹1,34,900",Same Price,4.7,"11,963 Ratings & 871 Reviews",No offer this product,"11,963", 871 Reviews
143,"APPLE iPhone 6 (Space Grey, 32 GB)","₹30,780","₹31,900",4.4,"1,45,545 Ratings & 16,265 Reviews",3% off,"1,45,545"," 16,265 Reviews"
144,"APPLE iPhone 13 Pro Max (Graphite, 512 GB)","₹1,59,900",Same Price,4.6,"1,720 Ratings & 168 Reviews",No offer this product,"1,720", 168 Reviews
145,"APPLE iPhone 14 Plus (Midnight, 512 GB)","₹1,17,400","₹1,19,900",4.5,196 Ratings & 24 Reviews,2% off,196, 24 Reviews
146,"APPLE iPhone 6 (Gold, 32 GB)","₹30,780",Same Price,4.4,"1,45,545 Ratings & 16,265 Reviews",No offer this product,"1,45,545"," 16,265 Reviews"
147,"APPLE iPhone 13 Pro Max (Graphite, 1 TB)","₹1,79,900",Same Price,4.6,"1,720 Ratings & 168 Reviews",No offer this product,"1,720", 168 Reviews
148,"APPLE iPhone SE (3rd Gen) (Starlight, 64 GB)","₹47,990","₹49,900",4.3,577 Ratings & 77 Reviews,3% off,577, 77 Reviews
149,"APPLE iPhone 12 Pro (Gold, 512 GB)","₹1,09,990","₹1,39,900",4.5,"1,147 Ratings & 82 Reviews",21% off,"1,147", 82 Reviews
150,"APPLE iPhone 11 Pro Max (Space Grey, 64 GB)","₹99,990","₹1,17,100",4.7,"1,093 Ratings & 99 Reviews",14% off,"1,093", 99 Reviews
151,"APPLE iPhone 13 Pro Max (Sierra Blue, 256 GB)","₹1,39,900",Same Price,4.6,"1,720 Ratings & 168 Reviews",No offer this product,"1,720", 168 Reviews
152,"APPLE iPhone 14 Plus ((PRODUCT)RED, 512 GB)","₹1,17,400","₹1,19,900",4.5,196 Ratings & 24 Reviews,2% off,196, 24 Reviews
153,"APPLE iPhone 13 Pro Max (Silver, 1 TB)","₹1,79,900",Same Price,4.6,"1,720 Ratings & 168 Reviews",No offer this product,"1,720", 168 Reviews
154,"APPLE iPhone 14 Plus (Purple, 512 GB)","₹1,17,400","₹1,19,900",4.5,196 Ratings & 24 Reviews,2% off,196, 24 Reviews
155,"APPLE iPhone 13 Mini (Midnight, 512 GB)","₹79,990","₹94,900",4.5,"2,909 Ratings & 251 Reviews",15% off,"2,909", 251 Reviews
156,"APPLE iPhone 14 Plus (Blue, 512 GB)","₹1,17,400","₹1,19,900",4.5,196 Ratings & 24 Reviews,2% off,196, 24 Reviews
157,"APPLE iPhone 12 Pro (Pacific Blue, 128 GB)","₹99,990","₹1,09,900",4.5,"1,147 Ratings & 82 Reviews",9% off,"1,147", 82 Reviews
158,"APPLE iPhone 13 Pro Max (Sierra Blue, 512 GB)","₹1,59,900",Same Price,4.6,"1,720 Ratings & 168 Reviews",No offer this product,"1,720", 168 Reviews
159,"APPLE iPhone 8 Plus (Silver, 256 GB)","₹84,900",Same Price,4.6,"3,439 Ratings & 354 Reviews",No offer this product,"3,439", 354 Reviews
160,"APPLE iPhone 8 Plus (Space Grey, 256 GB)","₹84,900",Same Price,4.6,"3,439 Ratings & 354 Reviews",No offer this product,"3,439", 354 Reviews
161,"APPLE iPhone 8 (Space Grey, 256 GB)","₹77,000",Same Price,4.5,"11,358 Ratings & 803 Reviews",No offer this product,"11,358", 803 Reviews
162,"APPLE iPhone 8 (Silver, 256 GB)","₹77,000",Same Price,4.5,"11,358 Ratings & 803 Reviews",No offer this product,"11,358", 803 Reviews
163,"APPLE iPhone 13 Pro (Alpine Green, 1 TB)","₹1,69,900",Same Price,4.6,"1,286 Ratings & 110 Reviews",No offer this product,"1,286", 110 Reviews
164,"APPLE iPhone XS Max (Space Grey, 256 GB)","₹1,24,900",Same Price,4.6,"1,453 Ratings & 147 Reviews",No offer this product,"1,453", 147 Reviews
165,"APPLE iPhone 6s Plus (Rose Gold, 32 GB)","₹34,900",Same Price,4.4,"18,838 Ratings & 2,381 Reviews",No offer this product,"18,838"," 2,381 Reviews"
166,"APPLE iPhone 8 (Gold, 256 GB)","₹77,000",Same Price,4.5,"11,358 Ratings & 803 Reviews",No offer this product,"11,358", 803 Reviews
167,"APPLE iPhone 14 Pro Max (Silver, 1 TB)","₹1,89,900",Same Price,4.7,283 Ratings & 26 Reviews,No offer this product,283, 26 Reviews
168,"APPLE iPhone 14 Pro (Silver, 1 TB)","₹1,79,900",Same Price,4.8,341 Ratings & 29 Reviews,No offer this product,341, 29 Reviews
169,"APPLE iPhone XS Max (Gold, 256 GB)","₹1,24,900",Same Price,4.6,"1,453 Ratings & 147 Reviews",No offer this product,"1,453", 147 Reviews
170,"APPLE iPhone 6s (Gold, 32 GB)","₹29,900","₹29,990",4.5,"93,041 Ratings & 9,245 Reviews",No offer this product,"93,041"," 9,245 Reviews"
171,"APPLE iPhone 13 Pro Max (Gold, 512 GB)","₹1,59,900",Same Price,4.6,"1,720 Ratings & 168 Reviews",No offer this product,"1,720", 168 Reviews
